tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
135,0.9999999999999905,4.519599237818842e-20,9.63956297635575e-15,3.420072876748653e-50,0.9999999999999905,0.9999999999999905,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.1321788919609264e-15,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000078,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
136,0.9999999999999906,3.974134619057736e-20,9.457462344654968e-15,2.714892153841571e-50,0.9999999999999906,0.9999999999999907,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.1675931888801921e-15,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000074,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
137,0.9999999999999907,3.494501423541091e-20,9.278801769328853e-15,2.155111798084706e-50,0.9999999999999907,0.9999999999999909,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.1986914883592998e-15,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000074,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
138,0.9999999999999909,3.07275454147199e-20,9.103516264398225e-15,1.7107518822329355e-50,0.9999999999999909,0.9999999999999911,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.120985354816097e-15,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000074,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
139,0.9999999999999911,2.7019077481356514e-20,8.931542071531655e-15,1.3580140042686081e-50,0.9999999999999911,0.9999999999999912,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.0479460968561999e-15,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18000000000007,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
140,0.9999999999999912,2.3758179772922206e-20,8.762816636854024e-15,1.0780067261317519e-50,0.9999999999999912,0.9999999999999913,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.1330156719757104e-15,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000067,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
141,0.9999999999999915,2.089083561464924e-20,8.597278588193182e-15,8.557338127092252e-51,0.9999999999999915,0.9999999999999934,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.0570324420503143e-15,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000067,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
142,0.9999999999999934,1.2254921928370112e-20,6.524568905957842e-15,2.3564687771108792e-51,0.9999999999999934,0.9999999999999931,0.78,0.8,0.78,0.8,0.53999989,0.25000002,8.036024707783567e-16,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18000000000005,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
143,0.9999999999999932,9.727804461436067e-21,6.792548723407496e-15,8.30815269452721e-52,0.9999999999999932,0.9999999999999933,0.78,0.8,0.78,0.8,0.53999989,0.25000002,8.908596661865088e-16,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000053,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
144,0.9999999999999933,8.55376825319461e-21,6.664230933853673e-15,6.595104658919608e-52,0.9999999999999933,0.9999999999999936,0.78,0.8,0.78,0.8,0.53999989,0.25000002,8.216887666813824e-16,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000053,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
145,0.9999999999999936,7.521424964843373e-21,6.538337190970173e-15,5.235267942385633e-52,0.9999999999999936,0.9999999999999936,0.78,0.8,0.78,0.8,0.53999989,0.25000002,6.937221911278646e-16,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000053,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
146,0.9999999999999936,6.613673860130712e-21,6.414821702179984e-15,4.1558143268435424e-52,0.9999999999999936,0.9999999999999938,0.78,0.8,0.78,0.8,0.53999989,0.25000002,7.92845257401326e-16,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18000000000005,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
147,0.9999999999999938,5.815478068667688e-21,6.2936395399719966e-15,3.2989319571154565e-52,0.9999999999999938,0.9999999999999964,0.78,0.8,0.78,0.8,0.53999989,0.25000002,7.211047076733594e-16,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000053,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
148,0.9999999999999964,2.3037115184913148e-21,3.5443602424422524e-15,4.593002993925932e-53,0.9999999999999964,0.9999999999999967,0.78,0.8,0.78,0.8,0.53999989,0.25000002,4.381859090517159e-16,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000028,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
149,0.9999999999999967,1.684136763334002e-21,3.3177587965567763e-15,2.4605151024958623e-53,0.9999999999999967,0.9999999999999991,0.78,0.8,0.78,0.8,0.53999989,0.25000002,4.1006362828583477e-16,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000025,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
150,0.9999999999999991,3.654446421247848e-22,9.816098794345897e-16,4.746703226952436e-55,0.9999999999999991,0.9999999999999991,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.6405842940731227e-16,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18000000000001,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
151,0.9999999999999991,3.213395983131825e-22,9.630663230962768e-16,3.767986183884673e-55,0.9999999999999991,0.9999999999999991,0.78,0.8,0.78,0.8,0.53999989,0.25000002,2.0333454363603431e-16,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18000000000001,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
152,0.9999999999999991,2.825575355099024e-22,9.44873072402677e-16,2.9910696336204814e-55,0.9999999999999991,0.9999999999999991,0.78,0.8,0.78,0.8,0.53999989,0.25000002,2.370617594088904e-16,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000007,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
153,0.9999999999999991,2.484560299836364e-22,9.270235097426657e-16,2.3743445746775557e-55,0.9999999999999991,0.9999999999999991,0.78,0.8,0.78,0.8,0.53999989,0.25000002,2.224616138676349e-16,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000007,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
154,0.9999999999999991,2.184701912969023e-22,9.095111425181677e-16,1.8847813156649676e-55,0.9999999999999991,0.9999999999999997,0.78,0.8,0.78,0.8,0.53999989,0.25000002,2.0590011754144836e-16,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.180000000000007,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
155,0.9999999999999997,5.389672149816604e-23,3.6824782385592397e-16,9.870566658691599e-57,0.9999999999999997,0.9999999999999996,0.78,0.8,0.78,0.8,0.53999989,0.25000002,3.0934823365791618e-18,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
156,0.9999999999999997,4.73919955042174e-23,3.612912676810139e-16,7.835366362464044e-57,0.9999999999999997,0.9999999999999999,0.78,0.8,0.78,0.8,0.53999989,0.25000002,3.049963150745094e-18,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
